# x y z roll pitch yaw

11.56 -2.44 5.19 0 0 45
11.56 -2.44 4.965 0 0 45
11.56 -2.44 4.715 0 0 45
11.56 -2.44 4.49 0 0 45

11.49 -2.44 4.29 45 30 45

11.29 -2.44 4.20 90 45 90
11.065 -2.44 4.20 90 45 90
10.814 -2.44 4.20 90 45 90
10.59 -2.44 4.20 90 45 90

10.39 -2.44 4.29 135 30 135

10.30 -2.44 4.49 180 0 135
10.30 -2.44 4.715 180 0 135
10.30 -2.44 4.965 180 0 135
10.30 -2.44 5.49 180 0 135

10.39 -2.44 5.39 -135 -30 135

10.59 -2.44 5.47 -90 -45 90
10.814 -2.44 5.47 -90 -45 90
11.065 -2.44 5.47 -90 -45 90
11.29 -2.44 5.47 -90 -45 90

11.49 -2.44 5.39 -45 -30 45
